antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Hp Ink Cartidge 650 Black'}),frozenset({'Hp Ink Cartidge 650 Colour'}),0.007410084944876197,0.005662991746490752,0.004909934333393578,0.6626016260162602,117.00557861961599,0.0048679710835099485,2.947071132895943
frozenset({'Hp Ink Cartidge 650 Colour'}),frozenset({'Hp Ink Cartidge 650 Black'}),0.005662991746490752,0.007410084944876197,0.004909934333393578,0.8670212765957447,117.00557861961599,0.0048679710835099485,7.464276161214531
frozenset({'Hp Ink Cartidge 652 Black'}),frozenset({'Hp Ink Cartidge 652 Colour'}),0.005632869449966865,0.004849689740345804,0.004126754623772516,0.7326203208556149,151.0654000730727,0.004099436954592304,3.7218621603711055
frozenset({'Hp Ink Cartidge 652 Colour'}),frozenset({'Hp Ink Cartidge 652 Black'}),0.004849689740345804,0.005632869449966865,0.004126754623772516,0.8509316770186335,151.0654000730727,0.004099436954592304,6.670546167439803
frozenset({'Hp ink Cartridge 123 Colour'}),frozenset({'Hp ink Cartridge 123 Black'}),0.005813603229110187,0.009699379480691607,0.004879812036869691,0.839378238341969,86.53937502011394,0.004823423693000377,6.165419992265375
